PM10,PM25,SO2,CO,O3,NO2,kategori
48,66,23,13,17,29,1
45,68,31,12,25,31,1
55,69,26,20,15,31,1
55,68,23,18,21,40,1
51,71,27,15,25,32,1
56,74,24,24,21,40,1
65,101,24,19,19,41,2
57,79,24,11,25,26,1
56,83,25,12,21,30,1
63,87,24,19,14,37,1
54,81,25,14,23,40,1
66,99,25,16,21,42,1
63,86,24,15,17,36,1
56,79,26,10,22,24,1
54,77,21,15,21,34,1
57,71,23,17,18,38,1
61,84,23,18,20,42,1
22,38,28,9,43,10,0
39,57,34,11,42,13,1
23,51,33,9,57,10,1
54,69,30,13,59,18,1
39,57,34,10,40,14,1
44,61,34,9,50,19,1
54,72,42,12,60,22,1
69,93,51,20,54,23,1
65,81,55,16,65,22,1
67,85,55,21,50,34,1
69,94,55,17,50,28,1
76,101,56,16,50,22,2
63,92,52,11,60,14,1
75,101,51,15,65,20,2
88,115,61,17,73,25,2
74,101,55,15,58,20,2
74,97,51,11,65,17,1
61,81,51,13,56,18,1
69,85,60,15,44,26,1
71,91,57,14,55,21,1
51,70,33,8,37,10,1
35,51,32,3,34,5,1
52,72,27,14,32,22,1
50,75,19,7,32,14,1
58,93,19,13,27,17,1
70,100,20,11,32,16,1
57,73,19,9,41,15,1
59,88,19,13,27,19,1
64,104,13,9,34,16,2
39,23,10,12,26,17,0
22,49,41,7,18,12,0
37,62,44,11,18,12,1
64,103,43,26,23,20,2
52,80,43,14,23,16,1
49,67,19,21,17,35,1
51,75,22,18,19,31,1
52,69,20,16,16,30,1
51,73,20,22,15,37,1
57,88,23,23,19,31,1
47,63,21,16,11,19,1
36,50,23,15,10,22,0
45,65,20,20,14,27,1
27,35,19,9,15,21,0
44,58,24,12,13,25,1
37,62,27,13,13,25,1
39,60,23,14,10,19,1
45,70,29,18,13,34,1
55,80,32,13,21,36,1
64,102,30,15,25,40,2
60,88,29,14,24,35,1
55,80,28,16,19,31,1
43,55,21,11,18,17,1
38,61,21,13,14,18,1
37,54,23,11,12,16,1
32,53,21,10,9,15,1
50,69,23,19,19,28,1
55,77,19,19,21,37,1
53,69,24,15,14,30,1
43,57,22,13,15,23,1
48,66,45,13,38,18,1
55,61,50,12,53,21,1
65,81,54,16,59,26,1
71,89,59,23,52,31,1
60,84,29,23,51,27,1
52,65,28,16,41,15,1
51,55,27,13,33,15,1
56,81,42,21,42,26,1
38,50,26,9,43,9,0
51,60,27,12,45,19,1
40,58,29,11,41,16,1
50,62,27,12,37,15,1
51,72,33,15,49,19,1
78,107,55,20,53,41,2
78,115,43,14,74,23,2
73,93,39,13,59,26,1
48,55,30,9,44,11,1
36,53,29,9,41,13,1
62,83,49,12,63,19,1
57,76,43,15,71,18,1
65,88,48,18,67,25,1
53,68,34,13,55,17,1
39,58,30,12,48,18,1
54,71,26,13,41,14,1
57,83,27,18,38,20,1
56,77,29,13,28,19,1
60,89,28,14,25,14,1
53,72,29,7,23,9,1
52,73,28,10,16,10,1
51,76,28,9,25,10,1
59,88,40,8,41,18,1
71,106,32,11,39,19,2
61,99,35,7,42,18,1
65,106,31,12,45,17,2
62,93,26,15,36,10,1
51,77,26,9,27,8,1
43,64,26,6,27,8,1
38,62,26,7,28,9,1
55,79,27,13,39,11,1
51,73,30,11,56,19,1
47,63,27,10,43,17,1
51,19,26,14,48,21,1
56,22,12,18,32,25,1
56,96,40,13,19,9,1
46,81,39,17,29,14,1
81,108,66,18,44,35,2
62,75,55,14,44,28,1
59,72,54,14,38,27,1
66,91,51,13,51,28,1
80,99,54,14,42,28,1
70,84,58,12,40,23,1
62,79,53,9,53,17,1
67,94,57,11,57,18,1
65,93,53,16,61,28,1
75,102,52,12,51,18,2
58,87,44,8,23,15,1
63,95,45,11,26,19,1
54,82,48,7,34,15,1
59,88,48,8,26,16,1
67,97,48,14,26,22,1
49,71,49,6,32,12,1
73,114,52,9,24,21,2
63,89,51,10,21,17,1
66,99,50,14,21,19,1
63,93,50,7,18,22,1
80,111,52,7,24,29,2
53,64,48,4,22,17,1
59,89,52,9,29,23,1
69,106,51,9,26,19,2
58,81,50,6,26,14,1
71,30,52,8,25,19,1
54,89,41,11,32,20,1
62,100,43,7,41,17,1
57,93,41,11,36,23,1
56,93,41,9,38,20,1
68,108,37,9,32,28,2
49,80,36,12,32,23,1
63,103,35,13,28,21,2
67,111,42,13,22,25,2
62,88,35,20,19,22,1
64,102,35,28,20,28,2
67,102,38,19,18,24,2
56,102,31,19,15,31,2
74,140,36,22,20,26,2
51,90,29,14,19,21,1
47,84,33,16,21,22,1
58,107,38,14,23,25,2
82,147,39,18,20,24,2
67,118,36,10,26,18,2
60,117,36,18,30,22,2
65,125,36,14,21,29,2
52,91,25,12,27,28,1
52,86,29,9,28,19,1
53,87,22,10,29,25,1
47,77,25,10,23,20,1
56,89,42,10,16,27,1
58,97,28,25,9,55,1
54,90,30,17,16,41,1
62,101,28,23,16,45,2
53,83,34,19,11,45,1
74,123,47,26,20,58,2
50,68,23,16,12,35,1
35,67,28,13,13,35,1
58,103,26,14,23,28,2
64,107,39,19,17,52,2
76,129,35,30,14,63,2
68,102,27,11,27,22,2
71,106,28,12,34,25,2
56,74,26,9,29,29,1
64,86,34,10,22,27,1
68,94,32,10,26,26,1
46,59,29,5,18,13,1
63,89,33,10,18,24,1
53,69,28,10,17,23,1
66,95,31,12,24,30,1
71,97,30,11,24,29,1
63,80,29,8,28,20,1
63,89,31,8,32,19,1
74,100,27,15,24,24,1
48,66,27,7,26,17,1
61,91,29,10,23,28,1
73,105,29,12,39,35,2
64,81,53,12,48,28,1
72,100,54,11,44,23,1
94,129,51,15,50,23,2
77,111,56,12,62,20,2
84,108,54,11,51,23,2
59,83,22,18,19,35,1
54,76,22,20,17,41,1
63,87,20,13,14,30,1
59,83,22,15,19,32,1
66,89,23,23,18,47,1
59,77,22,15,23,40,1
51,70,23,14,25,25,1
58,82,25,13,22,26,1
62,86,31,13,17,29,1
56,74,39,18,13,35,1
56,80,28,25,17,39,1
64,84,29,17,16,34,1
54,68,26,21,13,45,1
75,109,33,25,21,44,2
44,58,27,15,16,32,1
54,79,26,17,24,43,1
59,82,36,14,17,32,1
54,66,31,10,21,23,1
55,79,24,18,26,38,1
66,94,30,15,20,28,1
60,82,50,16,64,26,1
68,92,54,16,76,28,1
68,93,57,16,61,32,1
64,84,51,16,65,25,1
61,80,50,11,72,14,1
61,83,52,15,68,24,1
68,87,54,13,67,22,1
71,99,56,15,48,32,1
65,90,51,12,61,25,1
67,91,54,12,57,25,1
55,73,52,11,58,17,1
69,91,53,12,58,20,1
61,84,51,20,44,33,1
77,98,59,15,49,27,1
47,65,22,11,24,24,1
40,54,24,10,23,26,1
57,79,24,12,23,27,1
52,76,24,15,22,34,1
56,79,22,16,28,36,1
60,91,24,21,27,37,1
74,108,22,20,23,38,2
56,77,27,11,21,24,1
54,70,29,12,16,24,1
56,76,23,14,17,32,1
47,61,24,16,18,29,1
55,73,21,15,19,33,1
62,74,51,10,57,14,1
59,74,50,9,51,11,1
68,82,54,12,39,17,1
64,83,53,14,45,20,1
57,72,53,13,66,21,1
67,83,61,20,46,33,1
60,79,53,11,54,17,1
46,59,46,9,61,7,1
55,73,51,10,58,8,1
67,87,52,10,63,8,1
54,70,55,11,51,13,1
56,77,52,13,55,21,1
66,87,53,12,56,17,1
60,81,58,13,65,21,1
64,90,62,15,66,28,1
73,97,64,18,57,34,1
86,116,74,19,72,30,2
56,64,52,12,66,19,1
62,83,52,12,64,20,1
60,73,52,10,62,13,1
66,81,53,11,63,16,1
60,76,46,13,66,21,1
53,65,55,17,51,28,1
55,83,12,9,25,16,1
61,102,23,13,35,20,2
39,66,20,9,60,15,1
39,69,19,15,151,20,2
50,76,20,8,71,15,1
35,58,17,6,47,13,1
46,76,22,8,66,13,1
53,73,45,10,25,15,1
60,85,49,12,31,19,1
51,60,45,7,27,13,1
51,68,51,5,23,11,1
73,117,38,20,21,21,2
54,77,37,7,27,16,1
51,78,38,22,25,20,1
56,87,39,9,29,15,1
46,66,37,6,31,11,1
42,73,37,7,31,12,1
75,112,36,13,24,13,2
49,74,37,4,28,17,1
55,95,37,9,27,20,1
50,79,41,6,26,18,1
57,91,40,10,29,26,1
59,93,41,9,37,24,1
47,77,22,9,27,15,1
42,69,34,7,25,12,1
50,77,40,10,19,24,1
54,90,25,14,21,25,1
37,67,19,11,29,20,1
50,82,21,20,31,32,1
43,74,21,8,30,14,1
33,58,17,6,38,6,1
40,72,23,8,38,8,1
53,89,29,9,38,13,1
65,115,25,14,31,13,2
51,81,24,10,25,13,1
39,69,23,8,28,8,1
45,75,22,10,29,13,1
30,56,24,7,39,12,1
51,87,26,8,28,16,1
